site_id,latitude,longitude,week_start,visitor_count
node,30.2682668,-97.7429695,2025-06-01,1
node,30.271876,-97.7411784,2025-06-01,1
node,30.2026426,-97.878822,2025-06-01,1
node,30.4019908,-97.7263957,2025-06-01,1
node,30.3158003,-97.7416401,2025-06-01,1
node,30.3173785,-97.7406015,2025-06-01,1
node,30.3540549,-97.7272892,2025-06-01,1
node,30.3065679,-97.7451642,2025-06-01,1
node,30.3327051,-97.7601993,2025-06-01,1
node,30.2953787,-97.7432724,2025-06-01,1
node,30.2948674,-97.742826,2025-06-01,1
node,30.3016888,-97.7386124,2025-06-01,1
node,30.1852296,-97.8471973,2025-06-01,1
node,30.3185317,-97.7245043,2025-06-01,1
node,30.394918,-97.7525341,2025-06-01,1
node,30.2846841,-97.7324514,2025-06-01,1
node,30.4463352,-97.8064641,2025-06-01,1
node,30.2512104,-97.7657583,2025-06-01,1
node,30.252259,-97.7635967,2025-06-01,1
node,30.2561056,-97.7462026,2025-06-01,1
node,30.2439425,-97.7583643,2025-06-01,1
node,30.246512,-97.7566288,2025-06-01,1
node,30.2448093,-97.7569898,2025-06-01,1
node,30.2332092,-97.7648433,2025-06-01,1
node,30.3959033,-97.7275003,2025-06-01,1
node,30.3952181,-97.7493734,2025-06-01,1
node,30.3987013,-97.7491029,2025-06-01,1
node,30.3999342,-97.7483653,2025-06-01,1
node,30.4001004,-97.7041809,2025-06-01,1
node,30.4075615,-97.7134001,2025-06-01,1
node,30.394281,-97.7202436,2025-06-01,1
node,30.3138337,-97.7199873,2025-06-01,1
node,30.2699007,-97.7540185,2025-06-01,1
node,30.2643747,-97.7413623,2025-06-01,1
node,30.2638474,-97.7418971,2025-06-01,1
node,30.2765454,-97.7507791,2025-06-01,1
node,30.302703,-97.7452903,2025-06-01,1
node,30.2829388,-97.7449006,2025-06-01,1
node,30.266973,-97.7456939,2025-06-01,1
node,30.2012416,-97.7684727,2025-06-01,1
node,30.4132733,-97.6882267,2025-06-01,1
node,30.2841449,-97.7183747,2025-06-01,1
node,30.3277452,-97.7395271,2025-06-01,1
node,30.2860744,-97.7411185,2025-06-01,1
node,30.265449,-97.740414,2025-06-01,1
node,30.3546718,-97.7563416,2025-06-01,1
node,30.1656017,-97.788159,2025-06-01,1
node,30.2731462,-97.8005584,2025-06-01,1
node,30.2935486,-97.7160528,2025-06-01,1
node,30.3701302,-97.7213963,2025-06-01,1
node,30.4019782,-97.7469768,2025-06-01,1
node,30.401983,-97.7468743,2025-06-01,1
node,30.3595801,-97.7356985,2025-06-01,1
node,30.268835,-97.741283,2025-06-01,1
node,30.2797199,-97.7419273,2025-06-01,1
node,30.3026246,-97.7385591,2025-06-01,1
node,30.20047,-97.8698127,2025-06-01,1
node,30.2376538,-97.7925576,2025-06-01,1
node,30.3058211,-97.7080023,2025-06-01,1
node,30.2221147,-97.8373142,2025-06-01,1
node,30.393758,-97.750673,2025-06-01,1
node,30.4071439,-97.6790975,2025-06-01,1
node,30.3106073,-97.7400068,2025-06-01,1
node,30.2797982,-97.7196272,2025-06-01,1
node,30.2422172,-97.7835352,2025-06-01,1
node,30.2650419,-97.7460802,2025-06-01,1
node,30.2326024,-97.7562269,2025-06-01,1
node,30.2662841,-97.7431138,2025-06-01,1
node,30.2642837,-97.7277618,2025-06-01,1
node,30.2658493,-97.7465097,2025-06-01,1
node,30.2644493,-97.7330414,2025-06-01,1
node,30.260505,-97.733706,2025-06-01,1
node,30.2079458,-97.8154229,2025-06-01,1
